first_name,white,black,api,hispanic,native,multiple
AARON,0.0015232124981849888,0.0010626774531398522,0.00044926076061732975,0.0005733185845770488,0.000452953316952429,0.0012090214851745884
ABBAS,1.9154100916624564e-05,1.7860201802749684e-05,8.985524311085846e-05,0.0,0.0,0.0
ABBEY,2.5082847188607165e-05,1.786046969238224e-05,0.0,0.0,0.0,0.0
ABBIE,3.2379770237729584e-05,1.7861273361279922e-05,0.0,5.458507818166967e-06,0.0,0.0
ABBY,0.00011310052181450931,3.572522561888543e-05,3.594051580893327e-05,2.1843749943438605e-05,0.0,0.0
ABDUL,4.469328826353275e-05,0.00013393829763208302,0.0006289758593589928,5.4540306776995476e-06,0.00022563413323199534,0.0002417839652234825
ABDULLAH,1.3225514263137718e-05,3.5718974860792384e-05,5.990213760915957e-05,5.4605825905786984e-06,0.0,0.0
ABE,1.09452181143952e-05,3.571799259880632e-05,5.990645061482351e-06,1.0920509989869481e-05,0.0,0.0
ABEL,1.9154164764022867e-05,6.251713566080531e-05,4.791282050343145e-05,0.001474183837562773,0.0,0.0
ABELARDO,3.192534094084914e-06,0.0,5.391209157624166e-05,0.00032759411517777515,0.0,0.0
ABHIJIT,2.736307948995138e-06,0.0,0.00016772811784733618,0.0,0.0,0.0
ABHISHEK,0.0,0.0,0.00010782514159818641,0.0,0.0,0.0
ABIGAIL,0.00015551412047958338,5.356274609941174e-05,0.00011981350025821144,0.00027845728015076177,0.0,0.0
ABNER,6.38467598272312e-06,4.4647825610548604e-05,3.594135444892347e-05,8.735796480026863e-05,0.0,0.0
ABRAHAM,8.984286651955359e-05,0.00028574215485956686,0.00030551277455286095,0.0006934196793915902,0.0013554695208530703,0.0
ABRAM,1.5961781167376802e-05,2.6789945517947775e-05,5.991363895759672e-06,2.1838945207327226e-05,0.0,0.0
ADA,4.8341300576041626e-05,0.00012501203648210816,0.00010183827041665998,0.0003330526775952162,0.00022609718329919353,0.0
ADALBERTO,1.8241794563355416e-06,0.0,0.0,0.00035489566314881877,0.0,0.0
ADAM,0.0020718448825044864,0.0002679231187636872,0.0002875696526423632,0.0005131253419671976,0.0009071828450656724,0.0014524537793965614
ADAN,3.648121765191678e-06,2.679164215228732e-05,5.990884672908124e-06,0.0007316316910860887,0.0,0.0
ADDIE,1.5049757566871555e-05,0.00011608720407684034,5.990824770051679e-06,5.460418792756718e-06,0.00022589841058742066,0.0
ADEL,2.5083056972915867e-05,3.5719957122778435e-05,6.589445995062232e-05,3.821987398995343e-05,0.0,0.0
ADELA,1.5962114085953657e-05,0.0,5.990489314055598e-05,0.00042041604772361,0.0,0.0
ADELAIDA,2.7362441015968363e-06,0.0,8.985452427658112e-05,0.00012557898537497595,0.0,0.0
ADELAIDE,1.4137683800553361e-05,4.4647825610548604e-05,0.0,2.7299364000083947e-05,0.0,0.0
ADELE,8.25452274674645e-05,4.4653897775553295e-05,2.9955202101674385e-05,5.458507818166968e-06,0.0,0.00024198244243034924
ADELINA,7.296717825342165e-06,8.930190197919029e-06,2.995322530741175e-05,0.00021293640418250463,0.0002258916342449739,0.0
ADELINE,1.9610418272283342e-05,4.464970083797653e-05,5.990477333484309e-05,3.821927339793951e-05,0.0,0.00024202116969022564
ADINA,2.234661220806723e-05,2.6791195669566387e-05,5.989686615779256e-06,1.091876281310171e-05,0.0,0.0
ADMIR,6.840792675130095e-06,0.0,0.0,0.0,0.0,0.0
ADNAN,2.0066425512007513e-05,8.928761453212043e-06,0.00011980559308116092,0.0,0.00022585549375192426,0.0
ADOLFO,8.209060662838917e-06,8.935101507849286e-06,2.396503626304358e-05,0.000851750257668308,0.0,0.0
ADOLPH,1.4593636313936137e-05,6.250722374440061e-05,0.0,2.7300510584837803e-05,0.0,0.0
ADRIA,1.6417902420312226e-05,0.0,0.0,2.1839709597163132e-05,0.0,0.0
ADRIAN,0.00019428026777714794,0.0008572262859856121,0.00013777866641988037,0.0017144371321123131,0.000677984355706659,0.0007265112930129982
ADRIANA,8.026570204803004e-05,3.5718796267704e-05,1.7956300538915314e-05,0.0016652728336504815,0.00022532693904107364,0.0
ADRIANE,2.006630693826781e-05,8.036563961626656e-05,5.9898064214921415e-06,2.184112917828695e-05,0.0,0.0
ADRIANNA,6.840792675130095e-06,8.928761453212043e-06,5.989686615779255e-06,7.097851019804025e-05,0.0,0.0
ADRIANNE,3.87646286415907e-05,5.357971244280717e-05,5.992382244319209e-06,1.6380328190612276e-05,0.0,0.0
ADRIENNE,0.0002449001041379504,0.0007322363057499182,5.991076362048744e-05,7.09919416194425e-05,0.00022547150101327214,0.00024160969255403866
AFSHIN,1.4137674679496462e-05,0.0,2.9952506473134432e-05,0.0,0.0,0.0002420719992188135
AGATA,2.1434556683862834e-05,0.0,0.0,5.459053810906898e-06,0.0,0.0
AGATHA,1.0033144348077005e-05,5.3578998070453684e-05,3.5942432700339456e-05,5.460364193482725e-06,0.00022589615180660505,0.0
AGNES,0.00010899706776780404,0.00033931258046177867,0.0003714053775149336,6.0059201392198615e-05,0.00045161160114796207,0.0
AGNIESZKA,4.560535746932251e-05,8.933940652774864e-06,5.993160981452976e-06,1.0919418004389625e-05,0.0,0.0
AGUSTIN,6.385022582885326e-06,8.920903357323627e-06,5.391700361047002e-05,0.0011738823160751064,0.0,0.0
AHMAD,5.016606378001878e-05,5.357819440155601e-05,0.00025757868853539206,5.455504858097357e-06,0.00045175842190097625,0.00024184931747452403
AHMED,5.24461501444526e-05,0.00013394910251392957,0.00023960855043663829,1.0916360445046018e-05,0.0,0.000968297678690223
AHMET,1.3225532505251517e-05,0.0,5.99028564434369e-06,1.0919854798581564e-05,0.0,0.0
AI,1.3680992481561676e-06,0.0,0.00016173813171727476,5.460254994934741e-06,0.0,0.0
AIDA,3.693982439285751e-05,1.7867345526284607e-05,0.00019768505713184745,0.0005350682987914813,0.0,0.0
