first_name,male,female
ANGELIC,0.0,1.0
ANGELICA,0.0,1.0
ANGELIKA,0.0,1.0
ANGELINA,0.0,1.0
ANGELINE,0.0,1.0
ANGELIQUE,0.0,1.0
ANGELITA,0.0,1.0
ANGELLA,0.0,1.0
ANGELO,0.9512195121951219,0.04878048780487805
ANGELYN,0.0,1.0
ANGIE,0.0,1.0
ANGILA,0.0,1.0
ANGLA,0.0,1.0
ANGLE,0.0,1.0
ANGLEA,0.0,1.0
ANH,0.0,1.0
ANIBAL,1.0,0.0
ANIKA,0.0,1.0
ANISA,0.0,1.0
ANISHA,0.0,1.0
ANISSA,0.0,1.0
ANITA,0.0,1.0
ANITRA,0.0,1.0
ANJA,0.0,1.0
ANJANETTE,0.0,1.0
ANJELICA,0.0,1.0
ANN,0.0,1.0
ANNA,0.0,1.0
ANNABEL,0.0,1.0
ANNABELL,0.0,1.0
ANNABELLE,0.0,1.0
ANNALEE,0.0,1.0
ANNALISA,0.0,1.0
ANNAMAE,0.0,1.0
ANNAMARIA,0.0,1.0
ANNAMARIE,0.0,1.0
ANNE,0.0,1.0
ANNELIESE,0.0,1.0
ANNELLE,0.0,1.0
ANNEMARIE,0.0,1.0
ANNETT,0.0,1.0
ANNETTA,0.0,1.0
ANNETTE,0.0,1.0
ANNICE,0.0,1.0
ANNIE,0.0,1.0
ANNIKA,0.0,1.0
ANNIS,0.0,1.0
ANNITA,0.0,1.0
ANNMARIE,0.0,1.0
ANTHONY,0.9958563535911603,0.00414364640883978
ANTIONE,1.0,0.0
ANTIONETTE,0.0,1.0
ANTOINE,1.0,0.0
ANTOINETTE,0.0,1.0
ANTON,1.0,0.0
ANTONE,1.0,0.0
ANTONETTA,0.0,1.0
ANTONETTE,0.0,1.0
ANTONIA,0.10256410256410256,0.8974358974358975
ANTONIETTA,0.0,1.0
ANTONINA,0.0,1.0
ANTONIO,0.9895833333333333,0.010416666666666668
ANTONY,1.0,0.0
ANTWAN,1.0,0.0
ANYA,0.0,1.0
APOLONIA,0.0,1.0
APRIL,0.0,1.0
APRYL,0.0,1.0
ARA,0.0,1.0
ARACELI,0.0,1.0
ARACELIS,0.0,1.0
ARACELY,0.0,1.0
ARCELIA,0.0,1.0
ARCHIE,1.0,0.0
ARDATH,0.0,1.0
ARDELIA,0.0,1.0
ARDELL,0.0,1.0
ARDELLA,0.0,1.0
ARDELLE,0.0,1.0
ARDEN,1.0,0.0
ARDIS,0.0,1.0
ARDITH,0.0,1.0
ARETHA,0.0,1.0
ARGELIA,0.0,1.0
ARGENTINA,0.0,1.0
ARIANA,0.0,1.0
ARIANE,0.0,1.0
ARIANNA,0.0,1.0
ARIANNE,0.0,1.0
ARICA,0.0,1.0
ARIE,0.0,1.0
ARIEL,0.5,0.5
ARIELLE,0.0,1.0
ARLA,0.0,1.0
ARLEAN,0.0,1.0
ARLEEN,0.0,1.0
ARLEN,1.0,0.0
ARLENA,0.0,1.0
ARLENE,0.0,1.0
ARLETHA,0.0,1.0
ARLETTA,0.0,1.0
ARLETTE,0.0,1.0
ARLIE,1.0,0.0
ARLINDA,0.0,1.0
ARLINE,0.0,1.0
ARLYNE,0.0,1.0
ARMAND,1.0,0.0
ARMANDA,0.0,1.0
ARMANDINA,0.0,1.0
ARMANDO,1.0,0.0
ARMIDA,0.0,1.0
ARMINDA,0.0,1.0
ARNETTA,0.0,1.0
ARNETTE,0.0,1.0
ARNITA,0.0,1.0
ARNOLD,1.0,0.0
ARNOLDO,1.0,0.0
ARNULFO,1.0,0.0
ARON,1.0,0.0
ARRON,1.0,0.0
ART,1.0,0.0
ARTHUR,0.9940652818991098,0.005934718100890208
ARTIE,0.0,1.0
ARTURO,1.0,0.0
ARVILLA,0.0,1.0
