first_name,white,black,api,hispanic,native,multiple
FATIMA,0.48591999999999996,0.07042000000000001,0.21126999999999999,0.21126999999999999,0.014080000000000002,0.007040000000000001
FAUSTINO,0.10769000000000001,0.01538,0.03077,0.84615,0.0,0.0
FAUSTO,0.16129000000000002,0.0,0.0,0.8387100000000001,0.0,0.0
FAWN,0.96774,0.0,0.0,0.032260000000000004,0.0,0.0
FAY,0.80822,0.07534,0.10959000000000002,0.0,0.0,0.00685
FAYE,0.81459,0.10638,0.06687,0.00912,0.0030399999999999997,0.0
FE,0.125,0.0,0.64286,0.23214,0.0,0.0
FEDERICO,0.15385,0.006409999999999999,0.08333,0.75,0.0,0.006409999999999999
FEI,0.02174,0.0,0.9782600000000001,0.0,0.0,0.0
FELECIA,0.31915,0.65957,0.0,0.02128,0.0,0.0
FELICE,0.8793099999999999,0.08621000000000001,0.0,0.03448,0.0,0.0
FELICIA,0.56027,0.33259,0.024550000000000002,0.07589,0.00446,0.00223
FELICIANO,0.20833000000000002,0.0,0.16667,0.625,0.0,0.0
FELICITAS,0.11904999999999999,0.023809999999999998,0.19047999999999998,0.66667,0.0,0.0
FELIPE,0.03632,0.00726,0.046,0.90557,0.00484,0.0
FELIX,0.27579,0.06944,0.09127,0.55952,0.0039700000000000004,0.0
FEN,0.0,0.0,1.0,0.0,0.0,0.0
FENG,0.00746,0.0,0.9776100000000001,0.01493,0.0,0.0
FERDINAND,0.38614000000000004,0.039599999999999996,0.39604,0.17822,0.0,0.0
FERMIN,0.04478,0.0,0.07462999999999999,0.8806,0.0,0.0
FERN,0.9027799999999999,0.06944,0.01389,0.0,0.01389,0.0
FERNANDA,0.70213,0.04255,0.0,0.25532,0.0,0.0
FERNANDO,0.14852,0.0060999999999999995,0.05798999999999999,0.78637,0.0010199999999999999,0.0
FIDEL,0.0452,0.0113,0.0339,0.9039499999999999,0.00565,0.0
FIDENCIO,0.06667000000000001,0.0,0.03333,0.9,0.0,0.0
FILIBERTO,0.07692,0.0,0.0,0.9230799999999999,0.0,0.0
FILOMENA,0.58929,0.0,0.23214,0.17857,0.0,0.0
FIONA,0.8691599999999999,0.02804,0.09346,0.00935,0.0,0.0
FLAVIA,0.54545,0.06061,0.06061,0.33332999999999996,0.0,0.0
FLAVIO,0.13724999999999998,0.0,0.0,0.86275,0.0,0.0
FLETCHER,0.8,0.2,0.0,0.0,0.0,0.0
FLOR,0.125,0.0,0.04545,0.82955,0.0,0.0
FLORA,0.4696100000000001,0.1105,0.17679999999999998,0.24309,0.0,0.0
FLORENCE,0.75248,0.13860999999999998,0.08515,0.019799999999999998,0.00396,0.0
FLORENCIO,0.09434,0.0,0.18868,0.7169800000000001,0.0,0.0
FLORENTINO,0.048389999999999996,0.0,0.14515999999999998,0.80645,0.0,0.0
FLORIAN,0.9268299999999999,0.0,0.024390000000000002,0.048780000000000004,0.0,0.0
FLORIN,0.96774,0.0,0.0,0.032260000000000004,0.0,0.0
FLOYD,0.8283400000000001,0.12974,0.02595,0.00998,0.002,0.00399
FONDA,0.88571,0.11429,0.0,0.0,0.0,0.0
FORD,1.0,0.0,0.0,0.0,0.0,0.0
FOREST,0.9137899999999999,0.05172000000000001,0.03448,0.0,0.0,0.0
FORREST,0.9531299999999999,0.03125,0.01172,0.00391,0.0,0.0
FRAN,0.96667,0.01111,0.01111,0.0,0.0,0.01111
FRANCES,0.8381000000000001,0.05726,0.029619999999999997,0.0696,0.00247,0.0029600000000000004
FRANCESCA,0.9225399999999999,0.028169999999999997,0.007040000000000001,0.042249999999999996,0.0,0.0
FRANCESCO,0.97521,0.0,0.0,0.02479,0.0,0.0
FRANCINE,0.86308,0.08802,0.01222,0.029339999999999998,0.00244,0.00489
FRANCIS,0.8826899999999999,0.030750000000000003,0.06197,0.022709999999999998,0.00095,0.00095
FRANCISCA,0.07576000000000001,0.0404,0.05556,0.8282799999999999,0.0,0.0
FRANCISCO,0.08652000000000001,0.00159,0.03291,0.87898,0.0,0.0
FRANCO,0.7528100000000001,0.033710000000000004,0.033710000000000004,0.17977999999999997,0.0,0.0
FRANCOIS,0.78689,0.14754,0.04918,0.016390000000000002,0.0,0.0
FRANK,0.86855,0.02904,0.02859,0.07003,0.0028699999999999997,0.00091
FRANKIE,0.67598,0.15642,0.05587,0.10615000000000001,0.0055899999999999995,0.0
FRANKLIN,0.74827,0.09129,0.06638999999999999,0.08990000000000001,0.0013800000000000002,0.00277
FRANKLYN,0.6857099999999999,0.11429,0.028569999999999998,0.17143,0.0,0.0
FRANZ,0.8157899999999999,0.0,0.052629999999999996,0.13158,0.0,0.0
FRED,0.87874,0.047380000000000005,0.03046,0.038919999999999996,0.0016899999999999999,0.0028199999999999996
FREDA,0.8137300000000001,0.14706,0.01961,0.01961,0.0,0.0
FREDDIE,0.44393,0.36449,0.05607,0.12617,0.0,0.00935
FREDDY,0.26829000000000003,0.06504,0.040650000000000006,0.62602,0.0,0.0
FREDERIC,0.91542,0.029849999999999998,0.029849999999999998,0.02488,0.0,0.0
FREDERICK,0.89487,0.06675,0.026699999999999998,0.009179999999999999,0.00083,0.0016699999999999998
FREDRIC,0.9807700000000001,0.01923,0.0,0.0,0.0,0.0
FREDRICK,0.8291799999999999,0.14235,0.0071200000000000005,0.01068,0.01068,0.0
FREDY,0.08474999999999999,0.0,0.0678,0.8474600000000001,0.0,0.0
FRIEDA,0.81633,0.06122000000000001,0.10204,0.020409999999999998,0.0,0.0
FRIEDRICH,1.0,0.0,0.0,0.0,0.0,0.0
FRITZ,0.76471,0.17647000000000002,0.03922,0.01961,0.0,0.0
FU,0.0,0.0,0.9697,0.030299999999999997,0.0,0.0
