name
"NEWMAN, Marie"
"NOEM, Kristi"
"NORTHUP, Anne Meagher"
"NORTON, Eleanor Holmes"
"OCASIO-CORTEZ, Alexandria"
"OMAR, Ilhan"
"PELOSI, Nancy"
"PINGREE, Chellie"
"PLASKETT, Stacey E."
"PORTER, Katie"
"PRESSLEY, Ayanna"
"PRYCE, Deborah D."
"RADEWAGEN, Aumua Amata Coleman"
"RICE, Kathleen Maura"
"RICHARDSON, Laura"
"RIVERS, Lynn Nancy"
"ROBY, Martha"
"ROSEN, Jacklyn Sheryl"
"ROS-LEHTINEN, Ileana"
"ROSS, Deborah K."
"ROUKEMA, Margaret Scafati"
"ROYBAL-ALLARD, Lucille"
"SANCHEZ, Loretta"
"S&#193;NCHEZ, Linda T."
"SCANLON, Mary Gay"
"SCHAKOWSKY, Janice D."
"SCHMIDT, Jean"
"SCHRIER, Kim"
"SCHWARTZ, Allyson Y."
"SEKULA GIBBS, Shelley"
"SEWELL, Terri"
"SHAHEEN, Jeanne"
"SHALALA, Donna"
"SHEA-PORTER, Carol"
"SHERRILL, Mikie"
"SINEMA, Kyrsten"
"SLAUGHTER, Louise McIntosh"
"SLOTKIN, Elissa"
"SMITH, Tina"
"SNOWE, Olympia Jean"
"SOLIS, Hilda L."
"SPANBERGER, Abigail"
"SPARTZ, Victoria"
"SPEIER, Karen Lorraine Jacqueline (Jackie)"
"STABENOW, Deborah Ann"
"STEEL, Michelle"
"STEFANIK, Elise M."
"STEVENS, Haley"
"STRICKLAND, Marilyn"
"SUTTON, Betty"
"TAUSCHER, Ellen O&#39;Kane"
"TENNEY, Claudia"
"THURMAN, Karen L."
"TITUS, Alice (Dina)"
"TLAIB, Rashida"
"TORRES, Norma Judith"
"TORRES SMALL, Xochitl"
"TRAHAN, Lori"
"TSONGAS, Nicola S. (Niki)"
"UNDERWOOD, Lauren"
"VAN DUYNE, Beth"
"VEL&#193;ZQUEZ, Nydia M."
"WAGNER, Ann"
"WALORSKI, Jackie"
"WALTERS, Mimi"
"WARREN, Elizabeth"
"WASSERMAN SCHULTZ, Debbie"
"WATERS, Maxine"
"WATSON, Diane Edith"
"WATSON COLEMAN, Bonnie"
"WEXTON, Jennifer"
"WILD, Susan"
"WILLIAMS, Nikema"
"WILSON, Frederica"
"WILSON, Heather"
"WOOLSEY, Lynn C."
