name
"ABERCROMBIE, Neil"
"SCANLON, Mary Gay"
"SCARBOROUGH, Charles Joseph"
"SCHAFFER, Robert W."
"SCHAKOWSKY, Janice D."
"SCHAUER, Mark H."
"SCHIFF, Adam"
"SCHILLING, Bobby"
"SCHMIDT, Jean"
"SCHNEIDER, Brad"
"SCHOCK, Aaron"
"SCHRADER, Kurt"
"SCHRIER, Kim"
"SCHROCK, Edward"
"SCHWARTZ, Allyson Y."
"SCHWARZ, John J. H. (Joe)"
"SCHWEIKERT, David"
"SCOTT, Austin"
"SCOTT, David"
"SCOTT, Robert C."
"SCOTT, Tim"
"SEKULA GIBBS, Shelley"
"SENSENBRENNER, Frank James, Jr."
"SERRANO, Jos&#233; E."
"SESSIONS, Pete"
"SESTAK, Joe"
"SEWELL, Terri"
"SHADEGG, John B."
"SHALALA, Donna"
"SHAW, Eugene Clay, Jr."
"SHAYS, Christopher H."
"SHEA-PORTER, Carol"
"SHERMAN, Brad"
"SHERRILL, Mikie"
"SHERWOOD, Don"
"SHIMKUS, John M."
"SHOWS, Clifford Ronald"
"SHULER, Heath"
"SHUSTER, E. G. (Bud)"
"SHUSTER, William (Bill)"
"SIMMONS, Robert (Rob)"
"SIMPSON, Michael K."
"SINEMA, Kyrsten"
"SIRES, Albio"
"SISISKY, Norman"
"SKEEN, Joseph Richard"
"SKELTON, Isaac Newton, IV (Ike)"
"SLAUGHTER, Louise McIntosh"
"SLOTKIN, Elissa"
"SMITH, Adam"
"SMITH, Adrian"
"SMITH, Christopher Henry"
"SMITH, Jason"
"SMITH, Lamar Seeligson"
"SMITH, Nick H."
"SMUCKER, Lloyd K."
"SNYDER, Victor F."
"SODREL, Michael E."
"SOLIS, Hilda L."
"SOTO, Darren Michael"
"SOUDER, Mark Edward"
"SOUTHERLAND, Steve"
"SPACE, Zack"
"SPANBERGER, Abigail"
"SPANO, Ross"
"SPARTZ, Victoria"
"SPEIER, Karen Lorraine Jacqueline (Jackie)"
"SPENCE, Floyd Davidson"
"SPRATT, John McKee, Jr."
"STABENOW, Deborah Ann"
"STANTON, Greg"
"STARK, Fortney Hillman (Pete)"
"STAUBER, Peter"
"STEARNS, Clifford Bundy"
"STEEL, Michelle"
"STEFANIK, Elise M."
"STEIL, Bryan"
"STENHOLM, Charles Walter"
"STEUBE, William"
"STEVENS, Haley"
"STEWART, Chris"
"STIVERS, Steve"
"STOCKMAN, Steve"
"STRICKLAND, Marilyn"
"STRICKLAND, Ted"
"STUMP, Robert Lee"
"STUPAK, Bart T."
"STUTZMAN, Marlin"
"SULLIVAN, John"
"SUNUNU, John E."
"SUOZZI, Thomas"
"SUTTON, Betty"
"SWALWELL, Eric"
"SWEENEY, John E."
"TAKAI, Mark"
"TAKANO, Mark"
"TALENT, James Matthes"
"TANCREDO, Thomas G."
"TANNER, John S."
"TAUSCHER, Ellen O&#39;Kane"
"TAUZIN, Wilbert Joseph (Billy)"
"TAYLOR, Charles Hart"
"TAYLOR, Gary Eugene (Gene)"
"TAYLOR, Scott William"
"TAYLOR, Van"
"TEAGUE, Harry"
"TENNEY, Claudia"
"TERRY, Lee Raymond"
"THOMAS, William Marshall"
"THOMPSON, Bennie"
"THOMPSON, Glenn"
"THOMPSON, Michael"
"THORNBERRY, William McClellan (Mac)"
"THUNE, John"
"THURMAN, Karen L."
"TIAHRT, Todd"
"TIBERI, Patrick (Pat)"
"TIERNEY, John F."
"TIFFANY, Thomas P."
"TIMMONS, William"
"TIPTON, Scott"
"TITUS, Alice (Dina)"
"TLAIB, Rashida"
"TONKO, Paul"
"TOOMEY, Patrick Joseph"
"TORRES, Norma Judith"
"TORRES, Ritchie"
"TORRES SMALL, Xochitl"
"TOWNS, Edolphus"
"TRAFICANT, James A., Jr."
"TRAHAN, Lori"
"TRONE, David"
"TROTT, David A."
"TSONGAS, Nicola S. (Niki)"
"TURNER, Jim"
"TURNER, Michael R."
"TURNER, Robert L."
"UDALL, Mark"
"UDALL, Thomas (Tom)"
"UNDERWOOD, Lauren"
"UNDERWOOD, Robert A."
"UPTON, Frederick Stephen"
"VALADAO, David G."
"VAN DREW, Jefferson"
"VAN DUYNE, Beth"
"VAN HOLLEN, Christopher"
"VARGAS, Juan"
"VEASEY, Marc"
"VELA, Filemon"
"VEL&#193;ZQUEZ, Nydia M."
"VENTO, Bruce Frank"
"VISCLOSKY, Peter"
"VITTER, David"
"WAGNER, Ann"
"WALBERG, Tim"
"WALDEN, Greg"
"WALKER, Bradley Mark"
"WALORSKI, Jackie"
"WALSH, James T."
"WALSH, Joe"
"WALTERS, Mimi"
"WALTZ, Michael"
"WALZ, Tim"
"WAMP, Zachary Paul"
"WASSERMAN SCHULTZ, Debbie"
"WATERS, Maxine"
"WATKINS, Steve"
"WATKINS, Wesley Wade"
"WATSON, Diane Edith"
"WATSON COLEMAN, Bonnie"
"WATT, Melvin L."
"WATTS, Julius Caesar, Jr. (J. C.)"
"WAXMAN, Henry Arnold"
"WEBER, Randy"
"WEBSTER, Daniel A."
"WEINER, Anthony D."
"WELCH, Peter"
"WELDON, David Joseph"
"WELDON, Wayne Curtis (Curt)"
"WELLER, Gerald C. (Jerry)"
"WENSTRUP, Brad"
"WEST, Allen"
"WESTERMAN, Bruce Eugene"
"WESTMORELAND, Lynn A."
"WEXLER, Robert"
"WEXTON, Jennifer"
"WEYGAND, Robert A."
"WHITFIELD, Wayne Edward (Ed)"
"WICKER, Roger F."
"WILD, Susan"
"WILLIAMS, Nikema"
"WILLIAMS, Roger"
"WILSON, Addison Graves (Joe)"
"WILSON, Charlie"
"WILSON, Frederica"
"WILSON, Heather"
"WISE, Robert Ellsworth, Jr."
"WITTMAN, Robert J."
"WOLF, Frank Rudolph"
"WOMACK, Steve"
"WOODALL, Rob"
"WOOLSEY, Lynn C."
"WRIGHT, Ron"
"WU, David"
"WYNN, Albert Russell"
"YARMUTH, John"
"YODER, Kevin"
"YOHO, Ted"
"YOUNG, Charles William (Bill)"
"YOUNG, David"
"YOUNG, Donald Edwin"
"YOUNG, Todd"
"ZELDIN, Lee M"
"ZINKE, Ryan"
